Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085,United Kingdom
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom
489435,22041,RECORD FRAME 7 SINGLE SIZE,6,2009-12-01 07:46:00,2.10,13085,Germany
489436,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2009-12-01 10:00:00,2.55,17420,United Kingdom
489437,71053,WHITE METAL LANTERN,6,2009-12-01 10:30:00,3.39,17420,United Kingdom
489438,22728,ALARM CLOCK BAKELIKE PINK,4,2009-12-01 11:00:00,3.75,17421,France
489439,22960,JAM MAKING SET WITH JARS,3,2009-12-01 11:30:00,4.25,17421,Germany
489440,22383,LUNCH BAG SUKI DESIGN,6,2009-12-01 14:00:00,1.65,,United Kingdom
489441,22384,LUNCH BAG PINK POLKADOT,4,2009-12-01 14:30:00,1.65,17422,United Kingdom
C489442,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2,2009-12-01 15:00:00,2.55,17420,United Kingdom
489443,21258,VICTORIAN SEWING BOX LARGE,1,2009-12-02 08:00:00,10.95,17423,United Kingdom
489444,22728,alarm clock bakelike pink,3,2009-12-02 09:00:00,3.75,17424,France
489445,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2009-12-02 10:00:00,1.69,13086,Australia
489446,22633,HAND WARMER UNION JACK,5,2009-12-02 11:00:00,1.85,13086,Australia
489447,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6,2009-12-03 08:00:00,6.95,17425,United Kingdom
489448,79323P,PINK CHERRY LIGHTS,4,2009-12-03 08:30:00,6.75,17425,United Kingdom
489449,22041,RECORD FRAME 7 SINGLE SIZE,8,2009-12-03 09:00:00,2.10,17426,Spain
489450,21756,BATH BUILDING BLOCK WORD,2,2009-12-03 09:30:00,5.95,17426,Spain
489451,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2009-12-04 08:00:00,2.55,17427,United Kingdom
489452,22728,ALARM CLOCK BAKELIKE PINK,3,2009-12-04 08:30:00,3.75,17427,United Kingdom
C489453,22728,ALARM CLOCK BAKELIKE PINK,-1,2009-12-04 09:00:00,3.75,17428,United Kingdom
489454,22960,JAM MAKING SET WITH JARS,4,2009-12-05 10:00:00,4.25,,United Kingdom
489455,22384,LUNCH BAG PINK POLKADOT,2,2009-12-05 11:00:00,1.65,17429,United Kingdom
489456,21258,VICTORIAN SEWING BOX LARGE,1,2009-12-06 08:00:00,10.95,17431,Germany
489457,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2009-12-06 09:00:00,1.69,17431,Germany
C489458,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-3,2009-12-06 10:00:00,6.95,13085,United Kingdom
489459,22633,HAND WARMER UNION JACK,6,2009-12-07 08:00:00,1.85,17432,France
489460,POST,POSTAGE,1,2009-12-07 09:00:00,18.00,17432,France
489461,85123A,white hanging heart t-light holder,4,2009-12-07 10:00:00,2.55,17433,United Kingdom
489462,22728,Alarm Clock Bakelike Pink,2,2009-12-07 11:00:00,3.75,,United Kingdom
489463,BAD002,ZERO PRICE ITEM TEST,1,2009-12-08 08:00:00,0.00,17434,United Kingdom
C489464,22383,LUNCH BAG SUKI DESIGN,-2,2009-12-08 09:00:00,1.65,17422,United Kingdom
489465,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,3,2009-12-08 10:00:00,6.95,17435,Australia
